type,side,price,sl,tp,profit
OPEN,SELL,1.16513,1.1661299999999999,1.16313,
REVERSE,,1.1650800000000001,,,4.999999999988347
OPEN,BUY,1.1650800000000001,1.1640800000000002,1.1670800000000001,
REVERSE,,1.1650800000000001,,,0.0
OPEN,SELL,1.1650800000000001,1.16608,1.1630800000000001,
REVERSE,,1.16512,,,-3.999999999981796
OPEN,BUY,1.16512,1.16412,1.16712,
REVERSE,,1.16515,,,2.999999999997449
OPEN,SELL,1.16515,1.1661499999999998,1.16315,
REVERSE,,1.16513,,,1.999999999990898
OPEN,BUY,1.16513,1.16413,1.16713,
REVERSE,,1.1650800000000001,,,-4.999999999988347
OPEN,SELL,1.1650800000000001,1.16608,1.1630800000000001,
REVERSE,,1.16513,,,-4.999999999988347
OPEN,BUY,1.16513,1.16413,1.16713,
REVERSE,,1.16522,,,8.999999999992347
OPEN,SELL,1.16522,1.1662199999999998,1.16322,
REVERSE,,1.16507,,,14.999999999987246
OPEN,BUY,1.16507,1.1640700000000002,1.16707,
REVERSE,,1.16502,,,-5.000000000010552
OPEN,SELL,1.16502,1.1660199999999998,1.16302,
REVERSE,,1.16529,,,-26.999999999999247
OPEN,BUY,1.16529,1.16429,1.16729,
REVERSE,,1.16559,,,29.999999999996696
OPEN,SELL,1.16559,1.1665899999999998,1.16359,
REVERSE,,1.1658,,,-21.00000000000435
OPEN,BUY,1.1658,1.1648,1.1678,
REVERSE,,1.16553,,,-26.999999999999247
OPEN,SELL,1.16553,1.1665299999999998,1.16353,
REVERSE,,1.16568,,,-15.00000000000945
OPEN,BUY,1.16568,1.1646800000000002,1.16768,
REVERSE,,1.1654200000000001,,,-25.999999999992696
OPEN,SELL,1.1654200000000001,1.16642,1.1634200000000001,
REVERSE,,1.16443,,,99.00000000000463
OPEN,BUY,1.16443,1.1634300000000002,1.16643,
REVERSE,,1.16438,,,-5.000000000010552
OPEN,SELL,1.16438,1.1653799999999999,1.16238,
REVERSE,,1.16352,,,85.99999999998609
OPEN,BUY,1.16352,1.1625200000000002,1.1655200000000001,
REVERSE,,1.1631,,,-42.0000000000087
OPEN,SELL,1.1631,1.1641,1.1611,
REVERSE,,1.16311,,,-1.0000000000065512
OPEN,BUY,1.16311,1.1621100000000002,1.16511,
REVERSE,,1.16307,,,-4.000000000004
OPEN,SELL,1.16307,1.16407,1.16107,
REVERSE,,1.16306,,,1.0000000000065512
OPEN,BUY,1.16306,1.16206,1.16506,
REVERSE,,1.16286,,,-19.999999999997797
OPEN,SELL,1.16286,1.16386,1.16086,
REVERSE,,1.16314,,,-28.000000000005798
OPEN,BUY,1.16314,1.1621400000000002,1.16514,
REVERSE,,1.16285,,,-29.00000000001235
OPEN,SELL,1.16285,1.1638499999999998,1.16085,
REVERSE,,1.16306,,,-21.00000000000435
OPEN,BUY,1.16306,1.16206,1.16506,
REVERSE,,1.16297,,,-8.999999999992347
OPEN,SELL,1.16297,1.16397,1.16097,
REVERSE,,1.16311,,,-14.000000000002899
OPEN,BUY,1.16311,1.1621100000000002,1.16511,
REVERSE,,1.16297,,,-14.000000000002899
OPEN,SELL,1.16297,1.16397,1.16097,
REVERSE,,1.16355,,,-58.000000000002494
OPEN,BUY,1.16355,1.1625500000000002,1.16555,
REVERSE,,1.1634,,,-15.00000000000945
OPEN,SELL,1.1634,1.1643999999999999,1.1614,
REVERSE,,1.1633499999999999,,,5.000000000010552
OPEN,BUY,1.1633499999999999,1.16235,1.1653499999999999,
REVERSE,,1.1632500000000001,,,-9.999999999976694
OPEN,SELL,1.1632500000000001,1.16425,1.1612500000000001,
REVERSE,,1.16302,,,23.00000000001745
OPEN,BUY,1.16302,1.16202,1.16502,
REVERSE,,1.16294,,,-7.999999999985796
OPEN,SELL,1.16294,1.16394,1.16094,
REVERSE,,1.16251,,,43.00000000001525
OPEN,BUY,1.16251,1.16151,1.16451,
TP,,1.16451,,,200.00000000000017
OPEN,SELL,1.1639599999999999,1.1649599999999998,1.1619599999999999,
REVERSE,,1.16414,,,-18.0000000000069
OPEN,BUY,1.16414,1.16314,1.16614,
REVERSE,,1.16446,,,32.0000000000098
OPEN,SELL,1.16446,1.16546,1.16246,
REVERSE,,1.16406,,,39.999999999995595
OPEN,BUY,1.16406,1.1630600000000002,1.16606,
REVERSE,,1.16395,,,-11.00000000000545
OPEN,SELL,1.16395,1.16495,1.16195,
REVERSE,,1.16347,,,48.000000000003595
OPEN,BUY,1.16347,1.1624700000000001,1.16547,
REVERSE,,1.1639599999999999,,,48.99999999998794
OPEN,SELL,1.1639599999999999,1.1649599999999998,1.1619599999999999,
REVERSE,,1.16377,,,18.999999999991246
OPEN,BUY,1.16377,1.16277,1.16577,
REVERSE,,1.1645699999999999,,,79.99999999999119
OPEN,SELL,1.1645699999999999,1.1655699999999998,1.1625699999999999,
REVERSE,,1.16475,,,-18.0000000000069
OPEN,BUY,1.16475,1.16375,1.16675,
REVERSE,,1.16493,,,18.0000000000069
OPEN,SELL,1.16493,1.16593,1.16293,
REVERSE,,1.16493,,,-0.0
OPEN,BUY,1.16493,1.1639300000000001,1.16693,
REVERSE,,1.16612,,,119.00000000000244
OPEN,SELL,1.16612,1.16712,1.16412,
REVERSE,,1.16612,,,-0.0
OPEN,BUY,1.16612,1.1651200000000002,1.16812,
REVERSE,,1.1661299999999999,,,0.9999999999843467
OPEN,SELL,1.1661299999999999,1.1671299999999998,1.1641299999999999,
REVERSE,,1.16616,,,-3.0000000000196536
OPEN,BUY,1.16616,1.1651600000000002,1.16816,
REVERSE,,1.16609,,,-7.0000000000014495
OPEN,SELL,1.16609,1.16709,1.16409,
REVERSE,,1.16608,,,1.0000000000065512
OPEN,BUY,1.16608,1.1650800000000001,1.16808,
REVERSE,,1.16596,,,-11.999999999989797
OPEN,SELL,1.16596,1.16696,1.16396,
REVERSE,,1.16584,,,12.000000000012001
OPEN,BUY,1.16584,1.16484,1.16784,
REVERSE,,1.16564,,,-19.999999999997797
OPEN,SELL,1.16564,1.16664,1.16364,
TRAIL_SL,,1.16461,,,103.00000000000864
OPEN,BUY,1.16446,1.1634600000000002,1.16646,
TRAIL_SL,,1.1634900000000001,,,-96.99999999999153
OPEN,SELL,1.16106,1.1620599999999999,1.15906,
TRAIL_SL,,1.16132,,,-25.999999999992696
OPEN,BUY,1.15854,1.15754,1.16054,
REVERSE,,1.15918,,,64.0000000000196
OPEN,SELL,1.15918,1.16018,1.15718,
REVERSE,,1.15977,,,-58.99999999998684
OPEN,BUY,1.15977,1.15877,1.16177,
REVERSE,,1.15988,,,11.00000000000545
OPEN,SELL,1.15988,1.16088,1.15788,
REVERSE,,1.16013,,,-25.00000000000835
OPEN,BUY,1.16013,1.1591300000000002,1.16213,
REVERSE,,1.16024,,,10.999999999983245
OPEN,SELL,1.16024,1.1612399999999998,1.15824,
REVERSE,,1.16023,,,0.9999999999843467
OPEN,BUY,1.16023,1.1592300000000002,1.16223,
REVERSE,,1.1602000000000001,,,-2.999999999997449
OPEN,SELL,1.1602000000000001,1.1612,1.1582000000000001,
REVERSE,,1.16006,,,14.000000000002899
OPEN,BUY,1.16006,1.1590600000000002,1.16206,
REVERSE,,1.16015,,,8.999999999992347
OPEN,SELL,1.16015,1.16115,1.15815,
REVERSE,,1.1602999999999999,,,-14.999999999987246
OPEN,BUY,1.1602999999999999,1.1593,1.1622999999999999,
REVERSE,,1.16012,,,-17.999999999984695
OPEN,SELL,1.16012,1.16112,1.15812,
REVERSE,,1.16013,,,-1.0000000000065512
OPEN,BUY,1.16013,1.1591300000000002,1.16213,
REVERSE,,1.16025,,,11.999999999989797
OPEN,SELL,1.16025,1.16125,1.15825,
REVERSE,,1.16031,,,-5.999999999994898
OPEN,BUY,1.16031,1.15931,1.16231,
REVERSE,,1.16024,,,-7.0000000000014495
OPEN,SELL,1.16024,1.1612399999999998,1.15824,
REVERSE,,1.16036,,,-12.000000000012001
OPEN,BUY,1.16036,1.1593600000000002,1.16236,
REVERSE,,1.16044,,,7.999999999985796
OPEN,SELL,1.16044,1.1614399999999998,1.15844,
REVERSE,,1.16048,,,-4.000000000004
OPEN,BUY,1.16048,1.15948,1.16248,
REVERSE,,1.16015,,,-32.999999999994145
OPEN,SELL,1.16015,1.16115,1.15815,
REVERSE,,1.16039,,,-24.000000000001798
OPEN,BUY,1.16039,1.1593900000000001,1.16239,
REVERSE,,1.1612,,,80.99999999999774
OPEN,SELL,1.1612,1.1622,1.1592,
